DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,extracted_entities,defective_component,defective_part,failure_type,num_parts_replaced,total_cost,cause_of_failure
" SKARGA HALAS Z PRZODU POJAZDU PODCZAS JAZDY  CPRZ GLOSNA PRACA LOZYSKA PIASTY KOLA PRZEDNIEGO LEWEGO-HUCZY  KORECTA WERYFIKACJA USTERKI,D/M ELEM KOLIDUJACYCH,WYMIANA LOZYSKA PRZOD LEWA STRONA,SPR I REGUL ZBIEZN",BEARINGS,NOISE,WHEEL BEARINGS,5.0,299.776842," COMPLAINT  NOISE FROM THE FRONT OF THE VEHICLE WHILE DRIVING   CPRZ NOISE OPERATION OF THE LEFT FRONT WHEEL HUB BEARING - HURTS  CORRECTION  DEFECT VERIFICATION, D/M COLLIDING ELEMENTS, REPLACEMENT OF FRONT BEARING LEFT SIDE, SPR AND TOE-IN ADJUSTMENT",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Fehler Regensenor GRUND Regensensor defekt KORRECTUR Fehlerauslese mit Easy, Regensensor Verkabelung prüfen, 
Sensor ern",RAIN SENSOR,INCORRECT ADJUSTMENT,SENSOR,1.0,67.36,"REKL  Rain sensor error  REASON Rain sensor defective  CORRECTION Error reading with Easy, check rain sensor wiring, 
Sensor replace",{},N/A,N/A,N/A,N/A,N/A,N/A
"Klgomål FELSÖKNING: BILEN DRAR KYLARVÄTSKA Orsak FELSÖKNING: BILEN DRAR KYLARVÄTSKA
FEL: EGR VENTIL LÄCKER KYLARVÄTSKA UTVÄNDIGT.
ORSAK TILL FEL: MATERIALFEL. Ändring ARBETSMOMENT: DE/MO KARDAN
DE/MO VÄXELLÅDA DE/MO SLANGAR
TÖMNING KYLARVÄTSKA
DE/MO LUFTBURK
DE/MO EGR, BYTE
FYLLNING KYLARVÄTSKA
PROVTRYCKNING
LUFTNING VÄXELLÅDA
FUNKTIONSKONTROLL / PROVKÖRNING: OK",EGR VALVE,WATER LEAKS,EGR VALVE,1.0,1106.88,"Goals  TROUBLESHOOTING: THE CAR DRAWS COOLANT  Reason TROUBLESHOOTING: THE CAR DRAWS COOLANT
ERROR: EGR VALVE LEAKS COOLANT TO EXTERIOR.
CAUSE OF ERROR: MATERIAL FAILURE. Change  WORKING TORQUE: DE/MO CARDAN
DE/MO GEARBOX DE/MO HOSES
DRAINING COOLANT
DE/MO AIR CAN
DE/MO EGR, REPLACEMENT
FILL COOLANT
TEST PRINTING
GEARBOX VENTILATION
FUNCTIONAL CHECK / TEST DRIVE: OK",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Vorderachsbremse rechts wird heiss. GRUND Bremsklolben ist festgerostet,Bremssattel blockiert an Vorderachs-
bremse rechts KORRECTUR Bremssattel an Vorderachsbremse rechts erneuert.",BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,1.5,443.45,"REKL  Front axle brake on the right is getting hot. REASON  Brake block is rusted, brake caliper blocked on front axle
brake right CORRECTION  Brake caliper on the right front axle brake replaced.",{},N/A,N/A,N/A,N/A,N/A,N/A
"INCIDENT PERTE PUISSANCE 
BRUIT A L ACCELERATION CAUSE DURITE TURBO SOLUTION REMPL DURITE",SLEEVES,BREAK,RUBBER SLEEVE,1.0,153.13,"INCIDENT  POWER LOSS 
NOISE DURING ACCELERATION CAUSE  TURBO HOSE  SOLUTION REPLACING HOSE",{},N/A,N/A,N/A,N/A,N/A,N/A
 TIPO DANNO VEICOLO DERVA A DX IN MARCIA  CAUSA 5802716295 TESTA TIRANTE TRASVE  CORREZIONE 520610414 CONTROLLO E REGISTRAZIONE ASSETTO RUOTE ANTERIORI 520610436 REGISTRAZIONE INCIDENZA 2 RUOTE ANTERIORI,TRACK ROD JOINT,INCORRECT CLEARANCE,TIE ROD JOINT,0.0,255.0, DAMAGE TYPE  VEHICLE DRIVE RIGHT RUNNING   CAUSE 5802716295 TIE ROD HEAD   CORRECTION  520610414 CHECKING AND ADJUSTING THE FRONT WHEEL ALIGNMENT 520610436 ADJUSTING THE INCIDENCE OF THE 2 FRONT WHEELS,{},N/A,N/A,N/A,N/A,N/A,N/A
 SKARGA NIE DZIALA SYGNAL COFANIA  CPRZ PRZYCZYNA USTERKI BYLO ZWARCIE WEW BRZECZYKA COFANIA  KORECTA KONTROLA I WYMNIANA BRZECZYKA CZUJNIKA COFANIA,BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,89.981052, COMPLAINT  THE REVERSING SIGNAL DOES NOT WORK   CPRZ THE CAUSE OF THE FAULT WAS A SHORT CIRCUIT IN THE REVERSE BUZZER   CORRECTION  CHECKING AND REPLACING THE REVERSING SENSOR BUZZER,{},N/A,N/A,N/A,N/A,N/A,N/A
REKL Fahrtenschreiber zeigt fehler an GRUND Geschwindigkeits geber defekt KORRECTUR Geschwindigkeits geber ersetzt,TACHOGRAPH,DEFECT,KITAS SENSOR,2.0,482.25,REKL  Tachograph shows error  REASON Speed ​​sensor defective  CORRECTION  Speed ​​sensor replaced,{},N/A,N/A,N/A,N/A,N/A,N/A
 REKL LAUFGER USCHE VON DER VORDERACHSE  GRUND RADLAGER VORN RECHTS LAUFROLLEN GEFRESSEN -LAGER EINGELAUFEN  KORRECTUR RADLAGER VORN RECHTS ERNEUERT,BEARINGS,NOISE,WHEEL BEARINGS,4.0,331.08, REKL  RUNNING NOISE FROM THE FRONT AXLE   REASON WHEEL BEARING FRONT RIGHT ROLLERS SERVED - BEARING WORN IN   CORRECTION  FRONT RIGHT WHEEL BEARING RENEWED,{},N/A,N/A,N/A,N/A,N/A,N/A
 REKL ASR UND BREMSKONTROLLE LEUCHTET Z.T.  GRUND BREMSLICHTSCHALTER BLOCKIERT Z.T.  KORRECTUR ERSETZT,STOP LIGHT SWITCH,BLOCKAGE,STOP LIGHT SWITCH,1.0,157.87, REKL  ASR AND BRAKE CONTROL IS CURRENTLY ILLUMINATED   REASON BRAKE LIGHT SWITCH IS PARTIALLY BLOCKED   CORRECTION  REPLACED,{},N/A,N/A,N/A,N/A,N/A,N/A
