DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,DEFECTIVE_COMPONENT_label,DEFECTIVE_COMPONENT_score,DEFECTIVE_PART_label,DEFECTIVE_PART_score,FAILURE_TYPE_label,FAILURE_TYPE_score,NUM_PARTS_REPLACED_label,NUM_PARTS_REPLACED_score,COST_label,COST_score,DEFECTIVE_COMPONENT_label_binary,DEFECTIVE_PART_label_binary,FAILURE_TYPE_label_binary,NUM_PARTS_REPLACED_label_binary,COST_label_binary,DEFECTIVE_COMPONENT_TRUE,DEFECTIVE_PART_TRUE,FAILURE_TYPE_TRUE,NUM_PARTS_REPLACED_TRUE,COST_TRUE,extracted_entities,defective_component,defective_part,failure_type,num_parts_replaced,total_cost,cause_of_failure
" SKARGA HALAS Z PRZODU POJAZDU PODCZAS JAZDY  CPRZ GLOSNA PRACA LOZYSKA PIASTY KOLA PRZEDNIEGO LEWEGO-HUCZY  KORECTA WERYFIKACJA USTERKI,D/M ELEM KOLIDUJACYCH,WYMIANA LOZYSKA PRZOD LEWA STRONA,SPR I REGUL ZBIEZN",BEARINGS,NOISE,WHEEL BEARINGS,5.0,299.776842," COMPLAINT NOISE FROM THE FRONT OF THE VEHICLE WHILE DRIVING  CPRZ LOUD OPERATION OF THE FRONT LEFT WHEEL HUB BEARING - ROARING   CORRECTION VERIFICATION OF FAULT, D/M OF INTERFERING ELEMENTS, REPLACEMENT OF FRONT LEFT SIDE BEARING, SPR AND ADJUST ALIGNMENT",DEFECTIVE_COMPONENT,0.5122273564338684,DEFECTIVE_PART,0.5286710858345032,FAILURE_TYPE,0.474418044090271,NUM_PARTS_REPLACED,0.5271649360656738,COST,0.505535900592804,1,1,0,1,1,1,1,1,1,1,"{'FAILURE_TYPE': 'NOISE', 'NORP': 'SPR'}",N/A,N/A,NOISE,N/A,N/A,
"REKL Fehler Regensenor GRUND Regensensor defekt KORRECTUR Fehlerauslese mit Easy, Regensensor Verkabelung prüfen, 
Sensor ern",RAIN SENSOR,INCORRECT ADJUSTMENT,SENSOR,1.0,67.36,"RECL Rain sensor error REASON Rain sensor defective CORRECTION Read error with Easy, check rain sensor wiring, 
replace sensor",DEFECTIVE_COMPONENT,0.6039878726005554,DEFECTIVE_PART,0.5028285980224609,FAILURE_TYPE,0.37180691957473755,NUM_PARTS_REPLACED,0.3645865023136139,COST,0.36634695529937744,1,1,0,0,0,1,1,1,1,1,"{'ORG': 'CORRECTION Read', 'DEFECTIVE_PART': 'sensor', 'PERSON': 'Easy'}",N/A,sensor,N/A,N/A,N/A,
"Klgomål FELSÖKNING: BILEN DRAR KYLARVÄTSKA Orsak FELSÖKNING: BILEN DRAR KYLARVÄTSKA
FEL: EGR VENTIL LÄCKER KYLARVÄTSKA UTVÄNDIGT.
ORSAK TILL FEL: MATERIALFEL. Ändring ARBETSMOMENT: DE/MO KARDAN
DE/MO VÄXELLÅDA DE/MO SLANGAR
TÖMNING KYLARVÄTSKA
DE/MO LUFTBURK
DE/MO EGR, BYTE
FYLLNING KYLARVÄTSKA
PROVTRYCKNING
LUFTNING VÄXELLÅDA
FUNKTIONSKONTROLL / PROVKÖRNING: OK",EGR VALVE,WATER LEAKS,EGR VALVE,1.0,1106.88,"Goals  TROUBLESHOOTING: THE CAR DRAWS COOLANT  Reason TROUBLESHOOTING: THE CAR DRAWS COOLANT
ERROR: EGR VALVE LEAKS COOLANT TO EXTERIOR.
CAUSE OF ERROR: MATERIAL FAILURE. Change  WORKING TORQUE: DE/MO CARDAN
DE/MO GEARBOX DE/MO HOSES
DRAINING COOLANT
DE/MO AIR CAN
DE/MO EGR, REPLACEMENT
FILL COOLANT
TEST PRINTING
GEARBOX VENTILATION
FUNCTIONAL CHECK / TEST DRIVE: OK",DEFECTIVE_COMPONENT,0.2623727321624756,DEFECTIVE_PART,0.2683652937412262,FAILURE_TYPE,0.30268993973731995,NUM_PARTS_REPLACED,0.3299415111541748,COST,0.35230058431625366,0,0,0,0,0,1,1,1,1,1,"{'PERSON': 'EGR VALVE', 'ORG': 'FILL COOLANT', 'GPE': 'REPLACEMENT'}",N/A,N/A,N/A,N/A,N/A,
"REKL Vorderachsbremse rechts wird heiss. GRUND Bremsklolben ist festgerostet,Bremssattel blockiert an Vorderachs-
bremse rechts KORRECTUR Bremssattel an Vorderachsbremse rechts erneuert.",BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,1.5,443.45,"RECORD Right front axle brake gets hot. REASON Brake pad is rusted solid, brake calliper blocked on right front axle brake CORRECTION Brake calliper on right front axle brake replaced.",DEFECTIVE_COMPONENT,0.5318310260772705,DEFECTIVE_PART,0.5125717520713806,FAILURE_TYPE,0.43124622106552124,NUM_PARTS_REPLACED,0.5939125418663025,COST,0.39574503898620605,1,1,0,1,0,1,1,1,1,1,{'PERSON': 'CORRECTION Brake'},N/A,N/A,N/A,N/A,N/A,
"INCIDENT PERTE PUISSANCE 
BRUIT A L ACCELERATION CAUSE DURITE TURBO SOLUTION REMPL DURITE",SLEEVES,BREAK,RUBBER SLEEVE,1.0,153.13,"INCIDENT LOSS OF POWER
NOISE DURING ACCELERATION CAUSE TURBO HOSE SOLUTION REPLACE HOSE",DEFECTIVE_COMPONENT,0.41493934392929077,DEFECTIVE_PART,0.41747787594795227,FAILURE_TYPE,0.3222957253456116,NUM_PARTS_REPLACED,0.432803213596344,COST,0.30219486355781555,0,0,0,0,0,1,1,1,1,1,"{'FAILURE_TYPE': 'NOISE', 'PERSON': 'HOSE'}",N/A,N/A,NOISE,N/A,N/A,
 TIPO DANNO VEICOLO DERVA A DX IN MARCIA  CAUSA 5802716295 TESTA TIRANTE TRASVE  CORREZIONE 520610414 CONTROLLO E REGISTRAZIONE ASSETTO RUOTE ANTERIORI 520610436 REGISTRAZIONE INCIDENZA 2 RUOTE ANTERIORI,TRACK ROD JOINT,INCORRECT CLEARANCE,TIE ROD JOINT,0.0,255.0, DAMAGE TYPE VEHICLE DRIVES TO THE RIGHT WHEN DRIVING  CAUSE 5802716295 HEAD OF TIE ROD TRANSMISSION  CORRECTION 520610414 CHECK AND ADJUST FRONT WHEEL ALIGNMENT 520610436 ADJUSTMENT OF 2 FRONT WHEELS INCIDENCE,DEFECTIVE_COMPONENT,0.5779668688774109,DEFECTIVE_PART,0.5894737839698792,FAILURE_TYPE,0.7473429441452026,NUM_PARTS_REPLACED,0.5648123621940613,COST,0.5153364539146423,1,1,1,1,1,1,1,1,1,1,"{'ORG': 'TIE', 'DATE': '520610436', 'CARDINAL': '2'}",N/A,N/A,N/A,N/A,N/A,
 SKARGA NIE DZIALA SYGNAL COFANIA  CPRZ PRZYCZYNA USTERKI BYLO ZWARCIE WEW BRZECZYKA COFANIA  KORECTA KONTROLA I WYMNIANA BRZECZYKA CZUJNIKA COFANIA,BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,89.981052, COMPLAINT REVERSING SIGNAL DOES NOT WORK  CPRZ THE CAUSE OF THE FAULT WAS A SHORT CIRCUIT IN THE REVERSING BUZZER  CORRECTION INSPECTION AND REPLACEMENT OF THE REVERSING SENSOR BUZZER,DEFECTIVE_COMPONENT,0.4634643793106079,DEFECTIVE_PART,0.496497243642807,FAILURE_TYPE,0.44546881318092346,NUM_PARTS_REPLACED,0.3569255471229553,COST,0.4684661030769348,0,0,0,0,0,1,1,1,1,1,"{'ORG': 'COMPLAINT REVERSING SIGNAL', 'DEFECTIVE_PART': 'SENSOR'}",N/A,SENSOR,N/A,N/A,N/A,
REKL Fahrtenschreiber zeigt fehler an GRUND Geschwindigkeits geber defekt KORRECTUR Geschwindigkeits geber ersetzt,TACHOGRAPH,DEFECT,KITAS SENSOR,2.0,482.25,RECL Tachograph shows error REASON Speed ​​sensor defective CORRECTION Speed ​​sensor replaced,DEFECTIVE_COMPONENT,0.7570542693138123,DEFECTIVE_PART,0.6434447169303894,FAILURE_TYPE,0.49592864513397217,NUM_PARTS_REPLACED,0.5598387122154236,COST,0.4292093515396118,1,1,0,1,0,1,1,1,1,1,"{'ORG': 'RECL', 'DEFECTIVE_COMPONENT': 'Tachograph'}",Tachograph,N/A,N/A,N/A,N/A,
 REKL LAUFGER USCHE VON DER VORDERACHSE  GRUND RADLAGER VORN RECHTS LAUFROLLEN GEFRESSEN -LAGER EINGELAUFEN  KORRECTUR RADLAGER VORN RECHTS ERNEUERT,BEARINGS,NOISE,WHEEL BEARINGS,4.0,331.08," RECL RUNNING NOISE FROM THE FRONT AXLE  REASON FRONT RIGHT WHEEL BEARING, ROLLERS EGO - BEARING WORN IN  CORRECTION FRONT RIGHT WHEEL BEARING REPLACED",DEFECTIVE_COMPONENT,0.5155308246612549,DEFECTIVE_PART,0.48501071333885193,FAILURE_TYPE,0.46003445982933044,NUM_PARTS_REPLACED,0.646341860294342,COST,0.5224359035491943,1,0,0,1,1,1,1,1,1,1,"{'ORG': 'RECL RUNNING', 'FAILURE_TYPE': 'NOISE'}",N/A,N/A,NOISE,N/A,N/A,
 REKL ASR UND BREMSKONTROLLE LEUCHTET Z.T.  GRUND BREMSLICHTSCHALTER BLOCKIERT Z.T.  KORRECTUR ERSETZT,STOP LIGHT SWITCH,BLOCKAGE,STOP LIGHT SWITCH,1.0,157.87, RECL ASR AND BRAKE CONTROL LIGHTS PARTIALLY LIGHTS UP  REASON BRAKE LIGHT SWITCH BLOCKED PARTIALLY  CORRECTION REPLACED,DEFECTIVE_COMPONENT,0.40391552448272705,DEFECTIVE_PART,0.4336594045162201,FAILURE_TYPE,0.3198724389076233,NUM_PARTS_REPLACED,0.5627411603927612,COST,0.43726563453674316,0,0,0,1,0,1,1,1,1,1,{'ORG': 'BRAKE CONTROL LIGHTS PARTIALLY'},N/A,N/A,N/A,N/A,N/A,
