DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cleaned_DealerComment,Classification
* ******************************REKL************************************ LADEBORDWAND OHNE FUNKTION * ********************************GRUND******************************** PIN AM STECKER 93 DEFEKT * ******************************KORRECTUR******************************* PIN AM STECKER 93 INSTANDGESETZT,CABLES,DEFECT,TERMINAL,1.0,649.0,* ******************************RECL************************************ TAIL LIFT NOT FUNCTIONAL * ********************************REASON******************************** PIN ON CONNECTOR 93 DEFECTIVE * ******************************CORRECTION****************************** PIN ON CONNECTOR 93 REPAIRED,RECL TAIL LIFT NOT FUNCTIONAL REASON PIN ON CONNECTOR 93 DEFECTIVE CORRECTION PIN ON CONNECTOR 93 REPAIRED,"{'Type of Failure': 0.1833643913269043, 'Defective Part': 0.16694188117980957, 'Defective Component': 0.14588472247123718, 'Cause of Failure: Material Issue': 0.1316385269165039, 'Cause of Failure: Design Flaw': 0.11426793038845062, 'Cause of Failure: Human Error': 0.11331342160701752, 'Number of Parts Replaced': 0.10231877863407135, 'Total Cost Incurred': 0.04227034002542496}"
"******************************TIPO_DANNO****************************** LAVACRISTALLO NON FUNZIONA ********************************CAUSA********************************* 504015670 ELETTROPOMPA LAVACRI ******************************CORREZIONE****************************** ECONOMY SF/rF CABLG.LIN.POMPA LAVACRIST-RP.CV 
8886 ELIM.CORT.CC",W/SCREEN WASHER PUMP,DEFECTIVE CONTACTS,WIPER WASHER PUMP,0.0,57.6,"******************************DAMAGE TYPE**************************** WINDSCREEN WASHER DOES NOT WORK ******************************CAUSE******************************** 504015670 WINDSCREEN WASHER PUMP ****************************** CORRECTION**************************** ECONOMY SF/rF WIRING LINE WINDSCREEN WASHER PUMP-RP.CV 
8886 ELIMINATING SHORTCUT",DAMAGE TYPE WINDSCREEN WASHER DOES NOT WORK CAUSE 504015670 WINDSCREEN WASHER PUMP CORRECTION ECONOMY SF/rF WIRING LINE WINDSCREEN WASHER PUMP-RP.CV 8886 ELIMINATING SHORTCUT,"{'Type of Failure': 0.18624542653560638, 'Defective Part': 0.16460321843624115, 'Defective Component': 0.15441863238811493, 'Cause of Failure: Material Issue': 0.1504063606262207, 'Cause of Failure: Human Error': 0.1199694275856018, 'Cause of Failure: Design Flaw': 0.11766045540571213, 'Number of Parts Replaced': 0.0669657364487648, 'Total Cost Incurred': 0.039730701595544815}"
"******************************REKL************************************ Abstandswarner ohne Funktion, Fehlermeldung ********************************GRUND********************************* Sensor AEBS eingestellt, div. Kalibrierfahrten durchgeführt,
mit ASIST 107032283 Diagnose durchgeführt,
Sensor ausgerichtet und neu kalibriert ******************************KORRECTUR******************************* Fehlerspeicher ausgelesen und gelöscht, div. Kalibrierfahrten
durchgeführt, Fehlersuche mit ASIST 107032283, elektrische
Anlage überprüft, Sensor AEBS ausgerichtet und neu kalibriert.",ACC SENSOR,INCORRECT ADJUSTMENT,SENSOR,0.0,340.5,"******************************REKL************************************ Distance warning system not working, error message ********************************REASON********************************* AEBS sensor adjusted, various calibration runs carried out,
diagnosis carried out with ASIST 107032283,
sensor aligned and recalibrated ******************************CORRECTION****************************** Error memory read out and deleted, various calibration runs
carried out, troubleshooting with ASIST 107032283, electrical
system checked, AEBS sensor aligned and recalibrated.","REKL Distance warning system not working, error message REASON AEBS sensor adjusted, various calibration runs carried out, diagnosis carried out with ASIST 107032283, sensor aligned and recalibrated CORRECTION Error memory read out and deleted, various calibration runs carried out, troubleshooting with ASIST 107032283, electrical system checked, AEBS sensor aligned and recalibrated.","{'Type of Failure': 0.33288705348968506, 'Defective Component': 0.15972290933132172, 'Cause of Failure: Design Flaw': 0.1438787430524826, 'Defective Part': 0.13073039054870605, 'Cause of Failure: Human Error': 0.09917916357517242, 'Number of Parts Replaced': 0.06161176785826683, 'Cause of Failure: Material Issue': 0.0517728328704834, 'Total Cost Incurred': 0.02021714299917221}"
******************************COMPLAINT******************************* fenderliste i venstre side bag sidder ikke fast ********************************CAUSE********************************* monteringsbeslag på fenderliste er knækket ******************************CORRECTION****************************** fenderliste udsk,STOP-BLOCK CORNER,BROKEN RETAINER,FACING,1.0,68.820376,******************************COMPLAIN******************** ************ fender strip on the left side at the back is not fixed ****************************** **CAUSE******************************** mounting bracket on fender strip is broken ********* **********************CORRECTION******************************** ** fender strip ext,COMPLAIN fender strip on the left side at the back is not fixed CAUSE mounting bracket on fender strip is broken CORRECTION fender strip ext,"{'Defective Component': 0.16908381879329681, 'Defective Part': 0.1640801876783371, 'Cause of Failure: Design Flaw': 0.14997947216033936, 'Type of Failure': 0.14150956273078918, 'Cause of Failure: Human Error': 0.1370934396982193, 'Cause of Failure: Material Issue': 0.11778929084539413, 'Number of Parts Replaced': 0.07977547496557236, 'Total Cost Incurred': 0.04068877547979355}"
* ******************************TIPO_DANNO****************************** MANCATO AVVIAMENTO * ********************************CAUSA********************************* RISC. SENS. IBS E CAVO BATT. CRET. * ******************************CORREZIONE****************************** SOST.,IBS TRANSMITTOR,CRACKED,SENSOR,2.0,91.65,* ******************************DAMAGE TYPE******************************** FAILURE TO START * ******************************CAUSE******************************** IBS SENSOR HEATER AND CRET. BATTERY CABLE * ****************************** CORRECTION**************************** REPL.,DAMAGE TYPE FAILURE TO START CAUSE IBS SENSOR HEATER AND CRET. BATTERY CABLE CORRECTION REPL.,"{'Type of Failure': 0.4014154076576233, 'Defective Part': 0.13528850674629211, 'Defective Component': 0.12073453515768051, 'Cause of Failure: Design Flaw': 0.0883474126458168, 'Cause of Failure: Human Error': 0.08221248537302017, 'Number of Parts Replaced': 0.07716488838195801, 'Cause of Failure: Material Issue': 0.06889721751213074, 'Total Cost Incurred': 0.02593955211341381}"
"* ******************************REKL************************************ knackende GerÄusche von der FahrertÜr * ********************************GRUND******************************** FahrertÜrfangband ausgeschlagen, erzeugt GerÄusche * ******************************KORRECTUR******************************* FahrertÜrfangband erneuert",DOOR CHECK LINKS,NOISE,TIE ROD,1.0,88.06,"* ******************************RECL************************************ Cracking noises from the driver's door * ********************************REASON******************************** Driver's door stop strap worn out, creates noise * ******************************CORRECTION****************************** Driver's door stop strap replaced","RECL Cracking noises from the driver's door REASON Driver's door stop strap worn out, creates noise CORRECTION Driver's door stop strap replaced","{'Type of Failure': 0.15359747409820557, 'Cause of Failure: Material Issue': 0.1486063450574875, 'Defective Component': 0.1455937623977661, 'Defective Part': 0.14074403047561646, 'Cause of Failure: Design Flaw': 0.12916339933872223, 'Cause of Failure: Human Error': 0.12865327298641205, 'Number of Parts Replaced': 0.10708732157945633, 'Total Cost Incurred': 0.04655439779162407}"
* ******************************COMPLAINT******************************* ðWICI SI­ CHECK ENGINE * ********************************CAUSE********************************* ZBYT DUZA ILOSC CZASTEK STALYCH W FILLTRZE * ******************************CORRECTION****************************** WYMUSZONA REGENERACJA FILTRA,CERAMIC FILTER,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,55.928413,* ******************************COMPLAINT********************************* ðWICI SI CHECK ENGINE * *********************************CAUSE********************************* TOO MANY PARTICULATES IN THE FILTER * *********************************CORRECTION****************************** FORCED FILTER REGENERATION,COMPLAINT ðWICI SI CHECK ENGINE CAUSE TOO MANY PARTICULATES IN THE FILTER CORRECTION FORCED FILTER REGENERATION,"{'Number of Parts Replaced': 0.17941728234291077, 'Defective Component': 0.15039704740047455, 'Type of Failure': 0.13706094026565552, 'Cause of Failure: Material Issue': 0.13702787458896637, 'Cause of Failure: Design Flaw': 0.1304786205291748, 'Defective Part': 0.12809082865715027, 'Cause of Failure: Human Error': 0.11176370084285736, 'Total Cost Incurred': 0.025763701647520065}"
"******************************COMPLAINT******************************* Cannot shift gears. Warning for gearbox on dashboard ********************************CAUSE********************************* Too much gearbox oil leaked due to the defective crimps of gearbox hoses ******************************CORRECTION****************************** More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil",AUTOMATIC TRANSM.ASSY,OIL LEAKS,HYDRAULIC LINE,4.0,144.88,"******************************COMPLAINT******************************* Cannot shift gears. Warning for gearbox on dashboard ********************************CAUSE********************************* Too much gearbox oil leaked due to the defective crimps of gearbox hoses ******************************CORRECTION****************************** More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil",COMPLAINT Cannot shift gears. Warning for gearbox on dashboard CAUSE Too much gearbox oil leaked due to the defective crimps of gearbox hoses CORRECTION More oil needed for topping up and there were faults for gearbox because it remained almost without oil,"{'Type of Failure': 0.1718636304140091, 'Defective Part': 0.1613011211156845, 'Cause of Failure: Material Issue': 0.14988622069358826, 'Defective Component': 0.14632035791873932, 'Cause of Failure: Human Error': 0.115667924284935, 'Cause of Failure: Design Flaw': 0.11369713395833969, 'Number of Parts Replaced': 0.08959399908781052, 'Total Cost Incurred': 0.051669638603925705}"
* ******************************REKL************************************ SCHALTHEBELABDECKUNG LOEST SICH -ARRETIERUNG DEFEKT * ********************************GRUND******************************** ARRETIERUNG DEFEKT * ******************************KORRECTUR******************************* ABDECKUNG NICHT EINZELN LIEFERBAR -SCHALTKNOPF ERNEUERT,GEAR LEVER KNOB,LOOSE RETAINER,LEVER KNOB,1.0,64.59,* ******************************RECL************************************ GEAR LEVER COVER COMES OFF - LOCKING DEFECTIVE * ********************************REASON******************************** LOCKING DEFECTIVE * ******************************CORRECTION****************************** COVER NOT AVAILABLE SEPARATELY - GEAR KNOB REPLACED,RECL GEAR LEVER COVER COMES OFF - LOCKING DEFECTIVE REASON LOCKING DEFECTIVE CORRECTION COVER NOT AVAILABLE SEPARATELY - GEAR KNOB REPLACED,"{'Defective Part': 0.23481082916259766, 'Defective Component': 0.19405221939086914, 'Type of Failure': 0.14880692958831787, 'Cause of Failure: Material Issue': 0.11900904029607773, 'Cause of Failure: Design Flaw': 0.10615640878677368, 'Cause of Failure: Human Error': 0.09987621754407883, 'Number of Parts Replaced': 0.06888222694396973, 'Total Cost Incurred': 0.02840607985854149}"
******************************REKL************************************ Fehleranzeige EDC ********************************GRUND********************************* Überprüfung ******************************KORRECTUR******************************* Softwareupdate EDC-Steuergerät durchgeführt,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ECU-ENGINE,1.0,183.09,******************************RECL************************************ Error message EDC ********************************REASON********************************* Check ******************************CORRECTION******************************* Software update EDC control unit carried out,RECL Error message EDC REASON Check CORRECTION Software update EDC control unit carried out,"{'Type of Failure': 0.18400298058986664, 'Cause of Failure: Design Flaw': 0.16358664631843567, 'Defective Component': 0.1618032306432724, 'Cause of Failure: Human Error': 0.12449992448091507, 'Defective Part': 0.12380378693342209, 'Cause of Failure: Material Issue': 0.09679412096738815, 'Number of Parts Replaced': 0.08664218336343765, 'Total Cost Incurred': 0.05886702984571457}"
