Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
BEARINGS,NOISE,WHEEL BEARINGS,5.0,299.776842," COMPLAINT  NOISE FROM THE FRONT OF THE VEHICLE WHILE DRIVING   CPRZ NOISE OPERATION OF THE LEFT FRONT WHEEL HUB BEARING - HURTS  CORRECTION  DEFECT VERIFICATION, D/M COLLIDING ELEMENTS, REPLACEMENT OF FRONT BEARING LEFT SIDE, SPR AND TOE-IN ADJUSTMENT","[('COMPLAINT', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('NOISE', 'TYPE_OF_FAILURE'), ('D/M COLLIDING ELEMENTS', 'ORG'), ('SPR', 'ORG')]"
RAIN SENSOR,INCORRECT ADJUSTMENT,SENSOR,1.0,67.36,"REKL  Rain sensor error  REASON Rain sensor defective  CORRECTION Error reading with Easy, check rain sensor wiring, 
Sensor replace","[('Rain sensor', 'DEFECTIVE_COMPONENT'), ('Rain sensor', 'DEFECTIVE_COMPONENT'), ('CORRECTION Error', 'ORG'), ('Easy', 'PERSON'), ('rain sensor', 'DEFECTIVE_COMPONENT'), ('Sensor', 'DEFECTIVE_PART')]"
EGR VALVE,WATER LEAKS,EGR VALVE,1.0,1106.88,"Goals  TROUBLESHOOTING: THE CAR DRAWS COOLANT  Reason TROUBLESHOOTING: THE CAR DRAWS COOLANT
ERROR: EGR VALVE LEAKS COOLANT TO EXTERIOR.
CAUSE OF ERROR: MATERIAL FAILURE. Change  WORKING TORQUE: DE/MO CARDAN
DE/MO GEARBOX DE/MO HOSES
DRAINING COOLANT
DE/MO AIR CAN
DE/MO EGR, REPLACEMENT
FILL COOLANT
TEST PRINTING
GEARBOX VENTILATION
FUNCTIONAL CHECK / TEST DRIVE: OK","[('EGR VALVE', 'PERSON'), ('MATERIAL', 'CAUSE_OF_FAILURE'), ('DE/MO CARDAN\nDE/MO GEARBOX DE/MO HOSES\nDRAINING COOLANT\nDE/MO AIR CAN\nDE/MO EGR', 'ORG'), ('REPLACEMENT', 'GPE'), ('FILL COOLANT', 'ORG')]"
BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,1.5,443.45,"REKL  Front axle brake on the right is getting hot. REASON  Brake block is rusted, brake caliper blocked on front axle
brake right CORRECTION  Brake caliper on the right front axle brake replaced.","[('REKL  Front axle brake', 'ORG'), ('Brake', 'ORG'), ('CORRECTION', 'PERSON')]"
SLEEVES,BREAK,RUBBER SLEEVE,1.0,153.13,"INCIDENT  POWER LOSS 
NOISE DURING ACCELERATION CAUSE  TURBO HOSE  SOLUTION REPLACING HOSE","[('NOISE', 'TYPE_OF_FAILURE'), ('HOSE', 'PERSON'), ('HOSE', 'ORG')]"
TRACK ROD JOINT,INCORRECT CLEARANCE,TIE ROD JOINT,0.0,255.0, DAMAGE TYPE  VEHICLE DRIVING ON THE RIGHT   CAUSE 5802716295 TRASVE TIE ROD HEAD   CORRECTION  520610414 CHECKING AND ADJUSTING FRONT WHEEL ALIGNMENT 520610436 ADJUSTING INCIDENCE OF 2 FRONT WHEELS,"[('VEHICLE DRIVING ON THE', 'ORG'), ('CORRECTION  520610414', 'ORG'), ('520610436', 'DATE'), ('2', 'CARDINAL')]"
BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,89.981052, COMPLAINT  THE REVERSING SIGNAL DOES NOT WORK   CPRZ THE CAUSE OF THE FAULT WAS A SHORT CIRCUIT IN THE REVERSE BUZZER   CORRECTION  CHECKING AND REPLACING THE REVERSING SENSOR BUZZER,"[('COMPLAINT', 'ORG'), ('CORRECTION  CHECKING AND REPLACING THE REVERSING', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
TACHOGRAPH,DEFECT,KITAS SENSOR,2.0,482.25,REKL  Tachograph shows error  REASON Speed ​​sensor defective  CORRECTION  Speed ​​sensor replaced,"[('REKL', 'ORG'), ('Tachograph', 'ORG')]"
BEARINGS,NOISE,WHEEL BEARINGS,4.0,331.08, REKL  RUNNING NOISE FROM THE FRONT AXLE   REASON WHEEL BEARING FRONT RIGHT ROLLERS SERVED - BEARING SHOWN   CORRECTION  FRONT RIGHT WHEEL BEARING RENEWED,"[('REKL  RUNNING', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE')]"
STOP LIGHT SWITCH,BLOCKAGE,STOP LIGHT SWITCH,1.0,157.87, REKL  ASR AND BRAKE CONTROL IS CURRENTLY ILLUMINATED   REASON BRAKE LIGHT SWITCH IS PARTIALLY BLOCKED   CORRECTION  REPLACED,"[('REKL  ASR', 'ORG'), ('BRAKE CONTROL', 'ORG')]"
SENSOR,SHORT CIRCUIT,SENSOR,2.0,104.853508,"TEMPERATURE  THE VEHICLE'S FAILURE LIGHTS ARE ON  WHY THE CHECKS DONE IN THE REAR RIGHT AND LEFT ABS SENSORS. 
ELECTRICAL FAILURE HAS BEEN DETECTED. PROCEDURE  FAILURE BY REPLACING REAR RIGHT AND LEFT ABS SENSORS 
REMOVED.","[('VEHICLE', 'ORG')]"
ENG HOOD WIRING HARNESS,DEFECTIVE CONTACTS,HOOD WIRING,0.0,102.3,"COMPLAINT The working temperature of the vehicle rizes too much CAUSE First and second speed of the ventilator fan do not work due to defective 
contacts of wiring installation CORRECTION Check and repair of wiring installation","[('second', 'ORDINAL'), ('CORRECTION Check', 'PERSON')]"
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,136.411636, COMPLAINT  VERIFYING THE ADBLUE LIGHT IS FLASHING   CPRZ NO ADBLUE HEATER RESISTANCE   CORRECTION  REPLACEMENT OF A NEW ADBLUE HEATER,[]
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,0.0,230.712643, COMPLAINT NON START  CAUSE ATTEND VEHICLE AND CARRIED OUT CHECKS AND CONNECT UDT UNABLE TO FAULT. CLEARED FAULTS AND CARRIED OUT ROAD UNABLE TO FAULT DURING TE ST. RECHECKED VEHICLE AGAIN WITH ADBLUE FAULT LIGHT COMING ON DASH.  CORRECTION TRACED SYSTEM TO O/C IN WIRING CAUSING INTERMITTANT FAULT. REPAIRED WIRING AS REQUIRED AND REASSEMBLE AND SECURED LOOM. CLEARED FAUL TS AND RECHECKED OKAY,"[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG'), ('ATTEND VEHICLE', 'PERSON')]"
ENGINE DRIVE CONTR.UNIT,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,0.0,60.0, DAMAGE TYPE  ACTIVE FAULT SCR- BLUE DOSING SYSTEM   CAUSE EDC CONTROL UNIT SOFTWARE MALFUNCTION   CORRECTION  EDC CONTROL UNIT REPROGRAMMING WITH SOFTWARE SUPPLIED BY AN EXPERT CENTER,"[('CORRECTION', 'PERSON')]"
OXYGEN SENSOR,DEFECT,SENSOR,1.0,79.046844, COMPLAINT  ENGINE DIAGNOSIS CAUSES  LAMBDA PROBE DEFECT.  CORRECTION  ONLY WITH CHANGE OF THE LAMBDA PROBE SENSOR.,"[('COMPLAINT  ENGINE DIAGNOSIS', 'ORG'), ('CORRECTION', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART')]"
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,70.9,"CLAIM  PARTICULATE FILTER REGENERATION FAILURE CAUSE  ACCORDING TO EASY DPF - DISCHARGE GAS FLOW SUPERVISION
VALID DATA BUT ABOVE THE OPERATIONAL LIMIT 
NORMAL - ELEVATED SEVERITY LEVEL [DTC: 0xFEEE0 SPN: 
0x7EE0F FMI: 0x00 ] SOLUTION  CONNECT EASY, CHECK TROUBLES, CHANGE SENSOR 
GAS INLET TEMPERATURE AND DELETE FAULTS","[('DPF - DISCHARGE GAS', 'ORG'), ('NORMAL - ELEVATED SEVERITY', 'ORG'), ('DTC', 'ORG'), ('0x7EE0F FMI', 'TIME'), ('SENSOR', 'DEFECTIVE_PART')]"
CRANKSHAFT FRONT SEAL,OIL LEAKS,SHAFT SEAL,11.2,2242.8," REKL  Fix engine oil leaks   REASON Crankshaft seal worn in, injection pump drive gear corroded   CORRECTION  Malfunction found, locate leaks, various panels a-e, engine warm-up, clean damaged areas, front dismantled (fully integrated motorhome) and radiator package a-e, air conditioning condenser a-e, timing chain intermediate wheel rusted > replace, timing wheel housing cover a-e, timing chain a-e, Replace chain tensioner, replace front crankshaft oil seal, check engine running and leaks, clean","[('REASON Crankshaft', 'ORG'), ('CORRECTION  Malfunction', 'ORG'), ('Replace', 'ORG')]"
COMPLETE ENGINE CABLING,INTERFERENCE,MOTOR HARNESS,1.0,237.1,REKL  Engine gets hot - Vehicle in emergency mode - Fan doesn't switch on  REASON Engine wiring harness frayed  CORRECTION  Repair the cable harness,"[('REKL  Engine', 'ORG'), ('CORRECTION  Repair', 'ORG')]"
CAB LOOM,SHORT CIRCUIT,CAB WIRING,0.0,122.931035,COMPLAINT NON START CAUSE CAB LOOM SHORT CIRCUIT CORRECTION INVESIGATE FAULT. REPAIR WIRING LOOM AND CHECK OPERATION,"[('COMPLAINT NON START CAUSE CAB', 'ORG'), ('CIRCUIT CORRECTION INVESIGATE FAULT', 'ORG')]"
CLUTCH SYS TANK AND PUMP,BLOCKAGE,KIT-HYDRAULIC CYL,2.0,213.73," INCIDENT  VEHICLE STOPPED, CLUTCH PEDAL FULLY   CAUSE CLUTCH LOCKED   SOLUTION  COMPLETE REPLACEMENT OF HYDRAUL CLUTCH CONTROL","[('INCIDENT', 'ORG')]"
