DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cause_of_Failure,Human_error,Design_Flaw,Material,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Total Cost Incurred,Cause of Failure: Human Error,Cause of Failure: Design Flaw,Cause of Failure: Material Issue
 REKL LADEBORDWAND OHNE FUNKTION  GRUND PIN AM STECKER 93 DEFEKT  KORRECTUR PIN AM STECKER 93 INSTANDGESETZT,CABLES,DEFECT,TERMINAL,1.0,649.0, REKL  LOAD-LIFT WITHOUT FUNCTION   REASON PIN ON CONNECTOR 93 DEFECTIVE   CORRECTION  PIN ON CONNECTOR 93 REPAIRED,"{'Defective Component': 0.2523545026779175, 'Defective Part': 0.221920445561409, 'Number of Parts Replaced': 0.15155847370624542, 'Type of Failure': 0.1318204551935196, 'Cause of Failure: Material Issue': 0.07810298353433609, 'Cause of Failure: Design Flaw': 0.05873016640543938, 'Total Cost Incurred': 0.055158089846372604, 'Cause of Failure: Human Error': 0.05035484954714775}",0,0,1,0,0,0,0,0,0,0,0
"TIPO DANNO LAVACRISTALLO NON FUNZIONA CAUSA 504015670 ELETTROPOMPA LAVACRI CORREZIONE ECONOMY SF/rF CABLG.LIN.POMPA LAVACRIST-RP.CV 
8886 ELIM.CORT.CC",W/SCREEN WASHER PUMP,DEFECTIVE CONTACTS,WIPER WASHER PUMP,0.0,57.6,"DAMAGE TYPE  WINDSHIELD WASHER DOES NOT WORK CAUSE  504015670 ELECTRIC WASHING PUMP  CORECTION ECONOMY SF/rF CABLG. WINDSCREEN WASHER PUMP LIN.-RP.CV 
8886 DC SHORT ELIM","{'Type of Failure': 0.3290388882160187, 'Defective Component': 0.16308176517486572, 'Defective Part': 0.15409687161445618, 'Number of Parts Replaced': 0.14485697448253632, 'Cause of Failure: Material Issue': 0.08303428441286087, 'Total Cost Incurred': 0.05716373026371002, 'Cause of Failure: Design Flaw': 0.03484649583697319, 'Cause of Failure: Human Error': 0.033881042152643204}",0,0,1,0,0,0,0,0,0,0,0
"REKL Abstandswarner ohne Funktion, Fehlermeldung GRUND Sensor AEBS eingestellt, div. Kalibrierfahrten durchgeführt,
mit ASIST 107032283 Diagnose durchgeführt,
Sensor ausgerichtet und neu kalibriert KORRECTUR Fehlerspeicher ausgelesen und gelöscht, div. Kalibrierfahrten
durchgeführt, Fehlersuche mit ASIST 107032283, elektrische
Anlage überprüft, Sensor AEBS ausgerichtet und neu kalibriert.",ACC SENSOR,INCORRECT ADJUSTMENT,SENSOR,0.0,340.5,"REKL  Distance warning not working, error message  REASON Sensor AEBS set, various calibration runs carried out,
carried out with ASIST 107032283 diagnosis,
Sensor aligned and recalibrated CORRECTION  Error memory read and deleted, various calibration runs
carried out, troubleshooting with ASIST 107032283, electrical
System checked, AEBS sensor aligned and recalibrated.","{'Number of Parts Replaced': 0.16434498131275177, 'Defective Component': 0.13892033696174622, 'Defective Part': 0.12981000542640686, 'Type of Failure': 0.1260719746351242, 'Cause of Failure: Material Issue': 0.11704391986131668, 'Cause of Failure: Design Flaw': 0.1151760146021843, 'Total Cost Incurred': 0.11207710206508636, 'Cause of Failure: Human Error': 0.0965556725859642}",0,0,1,0,0,0,0,0,0,0,0
COMPLAINT fenderliste i venstre side bag sidder ikke fast CAUSE monteringsbeslag på fenderliste er knækket CORRECTION fenderliste udsk,STOP-BLOCK CORNER,BROKEN RETAINER,FACING,1.0,68.820376,COMPLAIN  fender strip on the left side at the back is not fixed  CAUSE mounting bracket on fender strip is broken  CORRECTION  fender strip ext,"{'Type of Failure': 0.19076567888259888, 'Cause of Failure: Design Flaw': 0.14860983192920685, 'Cause of Failure: Material Issue': 0.14076007902622223, 'Defective Part': 0.13813771307468414, 'Defective Component': 0.13716693222522736, 'Number of Parts Replaced': 0.11211943626403809, 'Cause of Failure: Human Error': 0.08233391493558884, 'Total Cost Incurred': 0.050106409937143326}",0,1,0,0,0,0,0,0,0,0,0
 TIPO DANNO MANCATO AVVIAMENTO  CAUSA RISC. SENS. IBS E CAVO BATT. CRET.  CORREZIONE SOST.,IBS TRANSMITTOR,CRACKED,SENSOR,2.0,91.65, DAMAGE TYPE  FAILURE TO START  CAUSE  HEATING. SENS. IBS AND BATT. CABLE CRET.  CORRECTION  SUB.,"{'Type of Failure': 0.3259704113006592, 'Defective Component': 0.14809080958366394, 'Defective Part': 0.12928993999958038, 'Number of Parts Replaced': 0.11287518590688705, 'Cause of Failure: Material Issue': 0.09093836694955826, 'Cause of Failure: Human Error': 0.07326242327690125, 'Cause of Failure: Design Flaw': 0.06488129496574402, 'Total Cost Incurred': 0.05469156801700592}",1,0,0,0,0,0,0,0,0,0,0
" REKL knackende GerÄusche von der FahrertÜr  GRUND FahrertÜrfangband ausgeschlagen, erzeugt GerÄusche  KORRECTUR FahrertÜrfangband erneuert",DOOR CHECK LINKS,NOISE,TIE ROD,1.0,88.06," REKL  cracking noises from the driver's door   REASON Driver's door catch strip knocked out, making noise   CORRECTION  Driver's door catch strap renewed","{'Number of Parts Replaced': 0.20543892681598663, 'Type of Failure': 0.18733349442481995, 'Defective Component': 0.14154058694839478, 'Defective Part': 0.1270834356546402, 'Cause of Failure: Material Issue': 0.10994599759578705, 'Cause of Failure: Human Error': 0.09576883167028427, 'Cause of Failure: Design Flaw': 0.069644995033741, 'Total Cost Incurred': 0.06324377655982971}",0,0,1,0,0,0,0,0,0,0,0
 COMPLAINT ðWICI SI­ CHECK ENGINE  CAUSE ZBYT DUZA ILOSC CZASTEK STALYCH W FILLTRZE  CORRECTION WYMUSZONA REGENERACJA FILTRA,CERAMIC FILTER,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,55.928413, COMPLAINT  ðWICI SI CHECK ENGINE   CAUSE TOO MANY SOLID PARTICLES IN THE FILTER   CORRECTION  FORCED FILTER REGENERATION,"{'Type of Failure': 0.18846802413463593, 'Number of Parts Replaced': 0.16344687342643738, 'Defective Component': 0.149591863155365, 'Defective Part': 0.12647667527198792, 'Cause of Failure: Material Issue': 0.12042203545570374, 'Cause of Failure: Design Flaw': 0.11080977320671082, 'Cause of Failure: Human Error': 0.0815005674958229, 'Total Cost Incurred': 0.05928415805101395}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT Cannot shift gears. Warning for gearbox on dashboard CAUSE Too much gearbox oil leaked due to the defective crimps of gearbox hoses CORRECTION More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil",AUTOMATIC TRANSM.ASSY,OIL LEAKS,HYDRAULIC LINE,4.0,144.88,"COMPLAINT Cannot shift gears. Warning for gearbox on dashboard CAUSE Too much gearbox oil leaked due to the defective crimps of gearbox hoses CORRECTION More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil","{'Defective Component': 0.2261001318693161, 'Defective Part': 0.2026553601026535, 'Cause of Failure: Material Issue': 0.14000090956687927, 'Cause of Failure: Design Flaw': 0.12324027717113495, 'Type of Failure': 0.10194514691829681, 'Cause of Failure: Human Error': 0.08474140614271164, 'Number of Parts Replaced': 0.07556270807981491, 'Total Cost Incurred': 0.04575406387448311}",0,1,0,0,0,0,0,0,0,0,0
 REKL SCHALTHEBELABDECKUNG LOEST SICH -ARRETIERUNG DEFEKT  GRUND ARRETIERUNG DEFEKT  KORRECTUR ABDECKUNG NICHT EINZELN LIEFERBAR -SCHALTKNOPF ERNEUERT,GEAR LEVER KNOB,LOOSE RETAINER,LEVER KNOB,1.0,64.59, REKL  SHIFT LEVER COVER LOOSES - LOCKING DEFECTIVE   REASON LOCKING DEFECTIVE   CORRECTION  COVER NOT AVAILABLE SEPARATELY - SWITCH KNOB RENEWED,"{'Defective Component': 0.23574677109718323, 'Defective Part': 0.20294231176376343, 'Number of Parts Replaced': 0.17016147077083588, 'Type of Failure': 0.1278897225856781, 'Cause of Failure: Material Issue': 0.08343465626239777, 'Cause of Failure: Design Flaw': 0.07124925404787064, 'Cause of Failure: Human Error': 0.05875401198863983, 'Total Cost Incurred': 0.049821775406599045}",0,0,1,0,0,0,0,0,0,0,0
REKL Fehleranzeige EDC GRUND Überprüfung KORRECTUR Softwareupdate EDC-Steuergerät durchgeführt,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ECU-ENGINE,1.0,183.09,REKL  Error display EDC  REASON Review  CORRECTION Software update EDC -Control unit carried out,"{'Type of Failure': 0.3043271601200104, 'Defective Component': 0.16324685513973236, 'Defective Part': 0.14346981048583984, 'Cause of Failure: Material Issue': 0.1049119159579277, 'Number of Parts Replaced': 0.08119210600852966, 'Cause of Failure: Human Error': 0.06781358271837234, 'Cause of Failure: Design Flaw': 0.06765024363994598, 'Total Cost Incurred': 0.06738832592964172}",0,0,1,0,0,0,0,0,0,0,0
