DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cause_of_Failure,Defective Component,Defective Part,Number of Parts Replaced,Total Cost Incurred,Human Error,Design Flaw,Material Issue
 REKL LADEBORDWAND OHNE FUNKTION  GRUND PIN AM STECKER 93 DEFEKT  KORRECTUR PIN AM STECKER 93 INSTANDGESETZT,CABLES,DEFECT,TERMINAL,1.0,649.0, REKL  LOAD-LIFT WITHOUT FUNCTION   REASON PIN ON CONNECTOR 93 DEFECTIVE   CORRECTION  PIN ON CONNECTOR 93 REPAIRED,Defective Component,1,0,0,0,0,0,0
"TIPO DANNO LAVACRISTALLO NON FUNZIONA CAUSA 504015670 ELETTROPOMPA LAVACRI CORREZIONE ECONOMY SF/rF CABLG.LIN.POMPA LAVACRIST-RP.CV 
8886 ELIM.CORT.CC",W/SCREEN WASHER PUMP,DEFECTIVE CONTACTS,WIPER WASHER PUMP,0.0,57.6,"DAMAGE TYPE  WINDSHIELD WASHER DOES NOT WORK CAUSE  504015670 ELECTRIC WASHING PUMP  CORECTION ECONOMY SF/rF CABLG. WINDSCREEN WASHER PUMP LIN.-RP.CV 
8886 DC SHORT ELIM",Defective Component,1,0,0,0,0,0,0
"REKL Abstandswarner ohne Funktion, Fehlermeldung GRUND Sensor AEBS eingestellt, div. Kalibrierfahrten durchgeführt,
mit ASIST 107032283 Diagnose durchgeführt,
Sensor ausgerichtet und neu kalibriert KORRECTUR Fehlerspeicher ausgelesen und gelöscht, div. Kalibrierfahrten
durchgeführt, Fehlersuche mit ASIST 107032283, elektrische
Anlage überprüft, Sensor AEBS ausgerichtet und neu kalibriert.",ACC SENSOR,INCORRECT ADJUSTMENT,SENSOR,0.0,340.5,"REKL  Distance warning not working, error message  REASON Sensor AEBS set, various calibration runs carried out,
carried out with ASIST 107032283 diagnosis,
Sensor aligned and recalibrated CORRECTION  Error memory read and deleted, various calibration runs
carried out, troubleshooting with ASIST 107032283, electrical
System checked, AEBS sensor aligned and recalibrated.",Number of Parts Replaced,0,0,1,0,0,0,0
COMPLAINT fenderliste i venstre side bag sidder ikke fast CAUSE monteringsbeslag på fenderliste er knækket CORRECTION fenderliste udsk,STOP-BLOCK CORNER,BROKEN RETAINER,FACING,1.0,68.820376,COMPLAIN  fender strip on the left side at the back is not fixed  CAUSE mounting bracket on fender strip is broken  CORRECTION  fender strip ext,Defective Part,0,1,0,0,0,0,0
 TIPO DANNO MANCATO AVVIAMENTO  CAUSA RISC. SENS. IBS E CAVO BATT. CRET.  CORREZIONE SOST.,IBS TRANSMITTOR,CRACKED,SENSOR,2.0,91.65, DAMAGE TYPE  FAILURE TO START  CAUSE  HEATING. SENS. IBS AND BATT. CABLE CRET.  CORRECTION  SUB.,Defective Component,1,0,0,0,0,0,0
" REKL knackende GerÄusche von der FahrertÜr  GRUND FahrertÜrfangband ausgeschlagen, erzeugt GerÄusche  KORRECTUR FahrertÜrfangband erneuert",DOOR CHECK LINKS,NOISE,TIE ROD,1.0,88.06," REKL  cracking noises from the driver's door   REASON Driver's door catch strip knocked out, making noise   CORRECTION  Driver's door catch strap renewed",Number of Parts Replaced,0,0,1,0,0,0,0
 COMPLAINT ðWICI SI­ CHECK ENGINE  CAUSE ZBYT DUZA ILOSC CZASTEK STALYCH W FILLTRZE  CORRECTION WYMUSZONA REGENERACJA FILTRA,CERAMIC FILTER,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,55.928413, COMPLAINT  ðWICI SI CHECK ENGINE   CAUSE TOO MANY SOLID PARTICLES IN THE FILTER   CORRECTION  FORCED FILTER REGENERATION,Number of Parts Replaced,0,0,1,0,0,0,0
"COMPLAINT Cannot shift gears. Warning for gearbox on dashboard CAUSE Too much gearbox oil leaked due to the defective crimps of gearbox hoses CORRECTION More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil",AUTOMATIC TRANSM.ASSY,OIL LEAKS,HYDRAULIC LINE,4.0,144.88,"COMPLAINT Cannot shift gears. Warning for gearbox on dashboard CAUSE Too much gearbox oil leaked due to the defective crimps of gearbox hoses CORRECTION More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil",Defective Component,1,0,0,0,0,0,0
 REKL SCHALTHEBELABDECKUNG LOEST SICH -ARRETIERUNG DEFEKT  GRUND ARRETIERUNG DEFEKT  KORRECTUR ABDECKUNG NICHT EINZELN LIEFERBAR -SCHALTKNOPF ERNEUERT,GEAR LEVER KNOB,LOOSE RETAINER,LEVER KNOB,1.0,64.59, REKL  SHIFT LEVER COVER LOOSES - LOCKING DEFECTIVE   REASON LOCKING DEFECTIVE   CORRECTION  COVER NOT AVAILABLE SEPARATELY - SWITCH KNOB RENEWED,Defective Component,1,0,0,0,0,0,0
REKL Fehleranzeige EDC GRUND Überprüfung KORRECTUR Softwareupdate EDC-Steuergerät durchgeführt,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ECU-ENGINE,1.0,183.09,REKL  Error display EDC  REASON Review  CORRECTION Software update EDC -Control unit carried out,Defective Component,1,0,0,0,0,0,0
COMPLAINT RECOVERY CAUSE RECOVERY CORRECTION RECOVERY,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,TERMINAL,0.0,214.08046,COMPLAINT RECOVERY CAUSE RECOVERY CORRECTION RECOVERY,Defective Component,1,0,0,0,0,0,0
" REKL MOTORKONTROLLE LEUCHTET  GRUND KURZSCHLUSS AM HEIZVENTIL IN DER AD-BLUE LEITUNG  KORRECTUR FEHLERSUCHE UND ANLAGENDIAGNOSE, LEITUNG ERN, FEHLERSPEICHER NACH REP. AUSLESEN UND LOESCHEN",FILLER HOSE,SHORT CIRCUIT,DELIVERY LINE,1.0,308.94," REKL  ENGINE CHECK LIGHTS   REASON SHORT CIRCUIT ON THE HEATER VALVE IN THE AD-BLUE LINE   CORRECTION  TROUBLESHOOTING AND SYSTEM DIAGNOSIS, LINE ERN, ERROR MEMORY ACCORDING TO REP. READ AND DELETE",Number of Parts Replaced,0,0,1,0,0,0,0
TIPO DANNO PERDITA OLIO CAUSA ROTTURA PARAOLIO ALBERO MOTORE LATO CAMBIO FLANGIATO CORREZIONE SOST.PARAOLIO,CRANKSHAFT FRONT SEAL,BREAK,SHAFT SEAL,2.0,485.82,"DAMAGE TYPE  OIL LEAK CAUSE  BROKEN CRANKSHAFT OIL SEAL, FLANGED GEAR SIDE  CORRECTION REPLACE OIL SEAL",Defective Component,1,0,0,0,0,0,0
" REKL AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN  GRUND AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN  KORRECTUR AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN , leider lÄst sich der neue Adblue Tank nicht prog Asist ist geschrieben",AD-BLUE TANK,FLUID LEAKS,TANK/RESERVOIR,2.0,1467.88," REKL  AD BLUE TANK TO QUALITY SENSOR LEAKING   REASON FROM BLUE TANK TO QUALITY SENSOR LEAKING  CORRECTION  AD BLUE TANK TO QUALITY SENSOR LEAKING ERN, unfortunately the new Adblue tank cannot be programmed. Asist is written",Number of Parts Replaced,0,0,1,0,0,0,0
"SICAYET Gaz kesiyor NEDEN Mazot filtresi sensöründe kısa devre var yakıt sıcaklığı uyarısı veriyor. 
Araç korumaya alıyor. YAPILANIS Mazot filtresi sensörü değiştirildi.",WATER IND SENSOR,SHORT CIRCUIT,SENSOR,1.0,47.881579,"TEMPERATURE  Gas ​​cuts off WHY  There is a short circuit in the diesel filter sensor and it gives a fuel temperature warning. 
The vehicle is protected. PROCEDURE  The diesel filter sensor was replaced.",Number of Parts Replaced,0,0,1,0,0,0,0
" REKL Navi teilweise ohne Funktion und hÄngt sich auf  GRUND Navi Update verfÜgbar  KORRECTUR Navi ÜberprÜft, Navi/Radio neu programmiert",DAB RADIO BLUETOOTH,NO WARNING,MONITOR,1.0,107.0," REKL  Navi partly not working and hangs up   REASON Navi update available   CORRECTION  Navi checked, navigation/radio reprogrammed",Defective Part,0,1,0,0,0,0,0
