DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment
"* ******************************SKARGA********************************** HALAS Z PRZODU POJAZDU PODCZAS JAZDY * ********************************CPRZ********************************** GLOSNA PRACA LOZYSKA PIASTY KOLA PRZEDNIEGO LEWEGO-HUCZY * ******************************KORECTA********************************* WERYFIKACJA USTERKI,D/M ELEM KOLIDUJACYCH,WYMIANA LOZYSKA PRZOD LEWA STRONA,SPR I REGUL ZBIEZN",BEARINGS,NOISE,WHEEL BEARINGS,5.0,299.776842,"* ******************************COMPLAINT************************************ NOISE FROM THE FRONT OF THE VEHICLE WHILE DRIVING * *********************************CPRZ************************************ LOUD OPERATION OF THE FRONT LEFT WHEEL HUB BEARING - ROARING * ********************************* CORRECTION********************************* VERIFICATION OF FAULT, D/M OF INTERFERING ELEMENTS, REPLACEMENT OF FRONT LEFT SIDE BEARING, SPR AND ADJUST ALIGNMENT"
"******************************REKL************************************ Fehler Regensenor ********************************GRUND********************************* Regensensor defekt ******************************KORRECTUR******************************* Fehlerauslese mit Easy, Regensensor Verkabelung prüfen, 
Sensor ern",RAIN SENSOR,INCORRECT ADJUSTMENT,SENSOR,1.0,67.36,"******************************RECL************************************ Rain sensor error ********************************REASON********************************* Rain sensor defective ******************************CORRECTION******************************* Read error with Easy, check rain sensor wiring, 
replace sensor"
"******************************Klgomål******************************** FELSÖKNING: BILEN DRAR KYLARVÄTSKA ********************************Orsak********************************* FELSÖKNING: BILEN DRAR KYLARVÄTSKA
FEL: EGR VENTIL LÄCKER KYLARVÄTSKA UTVÄNDIGT.
ORSAK TILL FEL: MATERIALFEL. ******************************Ändring********************************* ARBETSMOMENT: DE/MO KARDAN
DE/MO VÄXELLÅDA DE/MO SLANGAR
TÖMNING KYLARVÄTSKA
DE/MO LUFTBURK
DE/MO EGR, BYTE
FYLLNING KYLARVÄTSKA
PROVTRYCKNING
LUFTNING VÄXELLÅDA
FUNKTIONSKONTROLL / PROVKÖRNING: OK",EGR VALVE,WATER LEAKS,EGR VALVE,1.0,1106.88,"******************************Goals******************** ************** TROUBLESHOOTING: THE CAR DRAWS COOLANT ****************************** Reason******************************** TROUBLESHOOTING: THE CAR DRAWS COOLANT
ERROR: EGR VALVE LEAKS COOLANT TO EXTERIOR.
CAUSE OF ERROR: MATERIAL FAILURE. ******************************Change******************* ************** WORKING TORQUE: DE/MO CARDAN
DE/MO GEARBOX DE/MO HOSES
DRAINING COOLANT
DE/MO AIR CAN
DE/MO EGR, REPLACEMENT
FILL COOLANT
TEST PRINTING
GEARBOX VENTILATION
FUNCTIONAL CHECK / TEST DRIVE: OK"
"******************************REKL************************************ Vorderachsbremse rechts wird heiss. ********************************GRUND********************************* Bremsklolben ist festgerostet,Bremssattel blockiert an Vorderachs-
bremse rechts ******************************KORRECTUR******************************* Bremssattel an Vorderachsbremse rechts erneuert.",BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,1.5,443.45,"******************************RECORD************************************ Right front axle brake gets hot. ******************REASON********************************* Brake pad is rusted solid, brake calliper blocked on right front axle brake ******************************CORRECTION******************************* Brake calliper on right front axle brake replaced."
"******************************INCIDENT******************************** PERTE PUISSANCE 
BRUIT A L ACCELERATION ********************************CAUSE********************************* DURITE TURBO ******************************SOLUTION******************************** REMPL DURITE",SLEEVES,BREAK,RUBBER SLEEVE,1.0,153.13,"******************************INCIDENT********************************* LOSS OF POWER
NOISE DURING ACCELERATION ********************************CAUSE********************************* TURBO HOSE ******************************SOLUTION******************************** REPLACE HOSE"
* ******************************TIPO_DANNO****************************** VEICOLO DERVA A DX IN MARCIA * ********************************CAUSA********************************* 5802716295 TESTA TIRANTE TRASVE * ******************************CORREZIONE****************************** 520610414 CONTROLLO E REGISTRAZIONE ASSETTO RUOTE ANTERIORI 520610436 REGISTRAZIONE INCIDENZA 2 RUOTE ANTERIORI,TRACK ROD JOINT,INCORRECT CLEARANCE,TIE ROD JOINT,0.0,255.0,* ******************************DAMAGE TYPE**************************** VEHICLE DRIVES TO THE RIGHT WHEN DRIVING * ******************************CAUSE******************************** 5802716295 HEAD OF TIE ROD TRANSMISSION * ******************************CORRECTION**************************** 520610414 CHECK AND ADJUST FRONT WHEEL ALIGNMENT 520610436 ADJUSTMENT OF 2 FRONT WHEELS INCIDENCE
* ******************************SKARGA********************************** NIE DZIALA SYGNAL COFANIA * ********************************CPRZ********************************** PRZYCZYNA USTERKI BYLO ZWARCIE WEW BRZECZYKA COFANIA * ******************************KORECTA********************************* KONTROLA I WYMNIANA BRZECZYKA CZUJNIKA COFANIA,BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,89.981052,* ******************************COMPLAINT************************************ REVERSING SIGNAL DOES NOT WORK * *********************************CPRZ************************************ THE CAUSE OF THE FAULT WAS A SHORT CIRCUIT IN THE REVERSING BUZZER * *********************************CORRECTION********************************* INSPECTION AND REPLACEMENT OF THE REVERSING SENSOR BUZZER
******************************REKL************************************ Fahrtenschreiber zeigt fehler an ********************************GRUND********************************* Geschwindigkeits geber defekt ******************************KORRECTUR******************************* Geschwindigkeits geber ersetzt,TACHOGRAPH,DEFECT,KITAS SENSOR,2.0,482.25,******************************RECL************************************ Tachograph shows error ******************REASON********************************* Speed ​​sensor defective ******************************CORRECTION******************************* Speed ​​sensor replaced
* ******************************REKL************************************ LAUFGER USCHE VON DER VORDERACHSE * ********************************GRUND******************************** RADLAGER VORN RECHTS LAUFROLLEN GEFRESSEN -LAGER EINGELAUFEN * ******************************KORRECTUR******************************* RADLAGER VORN RECHTS ERNEUERT,BEARINGS,NOISE,WHEEL BEARINGS,4.0,331.08,"* ******************************RECL************************************ RUNNING NOISE FROM THE FRONT AXLE * ********************************REASON******************************** FRONT RIGHT WHEEL BEARING, ROLLERS EGO - BEARING WORN IN * ******************************CORRECTION****************************** FRONT RIGHT WHEEL BEARING REPLACED"
* ******************************REKL************************************ ASR UND BREMSKONTROLLE LEUCHTET Z.T. * ********************************GRUND******************************** BREMSLICHTSCHALTER BLOCKIERT Z.T. * ******************************KORRECTUR******************************* ERSETZT,STOP LIGHT SWITCH,BLOCKAGE,STOP LIGHT SWITCH,1.0,157.87,* ******************************RECL************************************ ASR AND BRAKE CONTROL LIGHTS PARTIALLY LIGHTS UP * ********************************REASON******************************** BRAKE LIGHT SWITCH BLOCKED PARTIALLY * ******************************CORRECTION****************************** REPLACED
