DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost
* ******************************REKL************************************ LADEBORDWAND OHNE FUNKTION * ********************************GRUND******************************** PIN AM STECKER 93 DEFEKT * ******************************KORRECTUR******************************* PIN AM STECKER 93 INSTANDGESETZT,CABLES,DEFECT,TERMINAL,1.0,649.0
"******************************TIPO_DANNO****************************** LAVACRISTALLO NON FUNZIONA ********************************CAUSA********************************* 504015670 ELETTROPOMPA LAVACRI ******************************CORREZIONE****************************** ECONOMY SF/rF CABLG.LIN.POMPA LAVACRIST-RP.CV 
8886 ELIM.CORT.CC",W/SCREEN WASHER PUMP,DEFECTIVE CONTACTS,WIPER WASHER PUMP,0.0,57.6
"******************************REKL************************************ Abstandswarner ohne Funktion, Fehlermeldung ********************************GRUND********************************* Sensor AEBS eingestellt, div. Kalibrierfahrten durchgeführt,
mit ASIST 107032283 Diagnose durchgeführt,
Sensor ausgerichtet und neu kalibriert ******************************KORRECTUR******************************* Fehlerspeicher ausgelesen und gelöscht, div. Kalibrierfahrten
durchgeführt, Fehlersuche mit ASIST 107032283, elektrische
Anlage überprüft, Sensor AEBS ausgerichtet und neu kalibriert.",ACC SENSOR,INCORRECT ADJUSTMENT,SENSOR,0.0,340.5
******************************COMPLAINT******************************* fenderliste i venstre side bag sidder ikke fast ********************************CAUSE********************************* monteringsbeslag på fenderliste er knækket ******************************CORRECTION****************************** fenderliste udsk,STOP-BLOCK CORNER,BROKEN RETAINER,FACING,1.0,68.820376
* ******************************TIPO_DANNO****************************** MANCATO AVVIAMENTO * ********************************CAUSA********************************* RISC. SENS. IBS E CAVO BATT. CRET. * ******************************CORREZIONE****************************** SOST.,IBS TRANSMITTOR,CRACKED,SENSOR,2.0,91.65
"* ******************************REKL************************************ knackende GerÄusche von der FahrertÜr * ********************************GRUND******************************** FahrertÜrfangband ausgeschlagen, erzeugt GerÄusche * ******************************KORRECTUR******************************* FahrertÜrfangband erneuert",DOOR CHECK LINKS,NOISE,TIE ROD,1.0,88.06
* ******************************COMPLAINT******************************* ðWICI SI­ CHECK ENGINE * ********************************CAUSE********************************* ZBYT DUZA ILOSC CZASTEK STALYCH W FILLTRZE * ******************************CORRECTION****************************** WYMUSZONA REGENERACJA FILTRA,CERAMIC FILTER,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,55.928413
"******************************COMPLAINT******************************* Cannot shift gears. Warning for gearbox on dashboard ********************************CAUSE********************************* Too much gearbox oil leaked due to the defective crimps of gearbox hoses ******************************CORRECTION****************************** More oil needed for topping up and there were faults for gearbox because it 
remained almost without oil",AUTOMATIC TRANSM.ASSY,OIL LEAKS,HYDRAULIC LINE,4.0,144.88
* ******************************REKL************************************ SCHALTHEBELABDECKUNG LOEST SICH -ARRETIERUNG DEFEKT * ********************************GRUND******************************** ARRETIERUNG DEFEKT * ******************************KORRECTUR******************************* ABDECKUNG NICHT EINZELN LIEFERBAR -SCHALTKNOPF ERNEUERT,GEAR LEVER KNOB,LOOSE RETAINER,LEVER KNOB,1.0,64.59
******************************REKL************************************ Fehleranzeige EDC ********************************GRUND********************************* Überprüfung ******************************KORRECTUR******************************* Softwareupdate EDC-Steuergerät durchgeführt,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ECU-ENGINE,1.0,183.09
******************************COMPLAINT******************************* RECOVERY ********************************CAUSE********************************* RECOVERY ******************************CORRECTION****************************** RECOVERY,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,TERMINAL,0.0,214.08046
"* ******************************REKL************************************ MOTORKONTROLLE LEUCHTET * ********************************GRUND******************************** KURZSCHLUSS AM HEIZVENTIL IN DER AD-BLUE LEITUNG * ******************************KORRECTUR******************************* FEHLERSUCHE UND ANLAGENDIAGNOSE, LEITUNG ERN, FEHLERSPEICHER NACH REP. AUSLESEN UND LOESCHEN",FILLER HOSE,SHORT CIRCUIT,DELIVERY LINE,1.0,308.94
******************************TIPO_DANNO****************************** PERDITA OLIO ********************************CAUSA********************************* ROTTURA PARAOLIO ALBERO MOTORE LATO CAMBIO FLANGIATO ******************************CORREZIONE****************************** SOST.PARAOLIO,CRANKSHAFT FRONT SEAL,BREAK,SHAFT SEAL,2.0,485.82
"* ******************************REKL************************************ AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN * ********************************GRUND******************************** AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN * ******************************KORRECTUR******************************* AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN , leider lÄst sich der neue Adblue Tank nicht prog Asist ist geschrieben",AD-BLUE TANK,FLUID LEAKS,TANK/RESERVOIR,2.0,1467.88
