Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Label_1,Label_2,Label_3,Label_4,Label_5,Score_1,Score_2,Score_3,Score_4,Score_5
BEARINGS,NOISE,WHEEL BEARINGS,5.0,299.776842," COMPLAINT  NOISE FROM THE FRONT OF THE VEHICLE WHILE DRIVING   CPRZ NOISE OPERATION OF THE LEFT FRONT WHEEL HUB BEARING - HURTS  CORRECTION  DEFECT VERIFICATION, D/M COLLIDING ELEMENTS, REPLACEMENT OF FRONT BEARING LEFT SIDE, SPR AND TOE-IN ADJUSTMENT",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.26967427134513855,0.1908239871263504,0.15242476761341095,0.11194836348295212,0.10980406403541565
RAIN SENSOR,INCORRECT ADJUSTMENT,SENSOR,1.0,67.36,"REKL  Rain sensor error  REASON Rain sensor defective  CORRECTION Error reading with Easy, check rain sensor wiring, 
Sensor replace",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.28527167439460754,0.2340518981218338,0.22213780879974365,0.08402137458324432,0.06494513899087906
EGR VALVE,WATER LEAKS,EGR VALVE,1.0,1106.88,"Goals  TROUBLESHOOTING: THE CAR DRAWS COOLANT  Reason TROUBLESHOOTING: THE CAR DRAWS COOLANT
ERROR: EGR VALVE LEAKS COOLANT TO EXTERIOR.
CAUSE OF ERROR: MATERIAL FAILURE. Change  WORKING TORQUE: DE/MO CARDAN
DE/MO GEARBOX DE/MO HOSES
DRAINING COOLANT
DE/MO AIR CAN
DE/MO EGR, REPLACEMENT
FILL COOLANT
TEST PRINTING
GEARBOX VENTILATION
FUNCTIONAL CHECK / TEST DRIVE: OK",Material Failure,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,0.4194768965244293,0.13643333315849304,0.08860456943511963,0.0807790607213974,0.07826612889766693
BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,1.5,443.45,"REKL  Front axle brake on the right is getting hot. REASON  Brake block is rusted, brake caliper blocked on front axle
brake right CORRECTION  Brake caliper on the right front axle brake replaced.",Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.21483194828033447,0.17328020930290222,0.15664900839328766,0.14249594509601593,0.13562951982021332
SLEEVES,BREAK,RUBBER SLEEVE,1.0,153.13,"INCIDENT  POWER LOSS 
NOISE DURING ACCELERATION CAUSE  TURBO HOSE  SOLUTION REPLACING HOSE",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.20624235272407532,0.1831950545310974,0.1645994335412979,0.14252948760986328,0.11573132872581482
TRACK ROD JOINT,INCORRECT CLEARANCE,TIE ROD JOINT,0.0,255.0, DAMAGE TYPE  VEHICLE DRIVING ON THE RIGHT   CAUSE 5802716295 TRASVE TIE ROD HEAD   CORRECTION  520610414 CHECKING AND ADJUSTING FRONT WHEEL ALIGNMENT 520610436 ADJUSTING INCIDENCE OF 2 FRONT WHEELS,Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.23087190091609955,0.183055117726326,0.1492091417312622,0.11715351790189743,0.11136237531900406
BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,89.981052, COMPLAINT  THE REVERSING SIGNAL DOES NOT WORK   CPRZ THE CAUSE OF THE FAULT WAS A SHORT CIRCUIT IN THE REVERSE BUZZER   CORRECTION  CHECKING AND REPLACING THE REVERSING SENSOR BUZZER,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2059173583984375,0.18168503046035767,0.1481686681509018,0.1262039691209793,0.10511274635791779
TACHOGRAPH,DEFECT,KITAS SENSOR,2.0,482.25,REKL  Tachograph shows error  REASON Speed ​​sensor defective  CORRECTION  Speed ​​sensor replaced,Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.2910064160823822,0.19271276891231537,0.18123967945575714,0.09460292756557465,0.09440940618515015
BEARINGS,NOISE,WHEEL BEARINGS,4.0,331.08, REKL  RUNNING NOISE FROM THE FRONT AXLE   REASON WHEEL BEARING FRONT RIGHT ROLLERS SERVED - BEARING SHOWN   CORRECTION  FRONT RIGHT WHEEL BEARING RENEWED,Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.2441364973783493,0.16404013335704803,0.13480448722839355,0.10758945345878601,0.10368791222572327
STOP LIGHT SWITCH,BLOCKAGE,STOP LIGHT SWITCH,1.0,157.87, REKL  ASR AND BRAKE CONTROL IS CURRENTLY ILLUMINATED   REASON BRAKE LIGHT SWITCH IS PARTIALLY BLOCKED   CORRECTION  REPLACED,Number of Parts Replaced,Type of Failure,Defective Part,Defective Component,Material Failure,0.23051698505878448,0.16030801832675934,0.14272351562976837,0.13395297527313232,0.12589694559574127
SENSOR,SHORT CIRCUIT,SENSOR,2.0,104.853508,"TEMPERATURE  THE VEHICLE'S FAILURE LIGHTS ARE ON  WHY THE CHECKS DONE IN THE REAR RIGHT AND LEFT ABS SENSORS. 
ELECTRICAL FAILURE HAS BEEN DETECTED. PROCEDURE  FAILURE BY REPLACING REAR RIGHT AND LEFT ABS SENSORS 
REMOVED.",Defective Component,Type of Failure,Number of Parts Replaced,Defective Part,Material Failure,0.1960522085428238,0.17863722145557404,0.17072832584381104,0.15983320772647858,0.086278036236763
ENG HOOD WIRING HARNESS,DEFECTIVE CONTACTS,HOOD WIRING,0.0,102.3,"COMPLAINT The working temperature of the vehicle rizes too much CAUSE First and second speed of the ventilator fan do not work due to defective 
contacts of wiring installation CORRECTION Check and repair of wiring installation",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.2620289921760559,0.2063990831375122,0.19608190655708313,0.12002836167812347,0.09019766747951508
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,136.411636, COMPLAINT  VERIFYING THE ADBLUE LIGHT IS FLASHING   CPRZ NO ADBLUE HEATER RESISTANCE   CORRECTION  REPLACEMENT OF A NEW ADBLUE HEATER,Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Material Failure,0.21999052166938782,0.17161904275417328,0.1511835902929306,0.14896629750728607,0.11007499694824219
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,0.0,230.712643, COMPLAINT NON START  CAUSE ATTEND VEHICLE AND CARRIED OUT CHECKS AND CONNECT UDT UNABLE TO FAULT. CLEARED FAULTS AND CARRIED OUT ROAD UNABLE TO FAULT DURING TE ST. RECHECKED VEHICLE AGAIN WITH ADBLUE FAULT LIGHT COMING ON DASH.  CORRECTION TRACED SYSTEM TO O/C IN WIRING CAUSING INTERMITTANT FAULT. REPAIRED WIRING AS REQUIRED AND REASSEMBLE AND SECURED LOOM. CLEARED FAUL TS AND RECHECKED OKAY,Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Total Cost Incurred,0.15487469732761383,0.12951572239398956,0.1294746845960617,0.12384732812643051,0.12236224859952927
ENGINE DRIVE CONTR.UNIT,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,0.0,60.0, DAMAGE TYPE  ACTIVE FAULT SCR- BLUE DOSING SYSTEM   CAUSE EDC CONTROL UNIT SOFTWARE MALFUNCTION   CORRECTION  EDC CONTROL UNIT REPROGRAMMING WITH SOFTWARE SUPPLIED BY AN EXPERT CENTER,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.4217258095741272,0.16732609272003174,0.11333075165748596,0.08543828874826431,0.07605931907892227
OXYGEN SENSOR,DEFECT,SENSOR,1.0,79.046844, COMPLAINT  ENGINE DIAGNOSIS CAUSES  LAMBDA PROBE DEFECT.  CORRECTION  ONLY WITH CHANGE OF THE LAMBDA PROBE SENSOR.,Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Design Flaw,0.2785649299621582,0.1786072850227356,0.16264520585536957,0.10874819755554199,0.07743211090564728
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,70.9,"CLAIM  PARTICULATE FILTER REGENERATION FAILURE CAUSE  ACCORDING TO EASY DPF - DISCHARGE GAS FLOW SUPERVISION
VALID DATA BUT ABOVE THE OPERATIONAL LIMIT 
NORMAL - ELEVATED SEVERITY LEVEL [DTC: 0xFEEE0 SPN: 
0x7EE0F FMI: 0x00 ] SOLUTION  CONNECT EASY, CHECK TROUBLES, CHANGE SENSOR 
GAS INLET TEMPERATURE AND DELETE FAULTS",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.23952695727348328,0.20450261235237122,0.1587858498096466,0.123410165309906,0.10008390247821808
CRANKSHAFT FRONT SEAL,OIL LEAKS,SHAFT SEAL,11.2,2242.8," REKL  Fix engine oil leaks   REASON Crankshaft seal worn in, injection pump drive gear corroded   CORRECTION  Malfunction found, locate leaks, various panels a-e, engine warm-up, clean damaged areas, front dismantled (fully integrated motorhome) and radiator package a-e, air conditioning condenser a-e, timing chain intermediate wheel rusted > replace, timing wheel housing cover a-e, timing chain a-e, Replace chain tensioner, replace front crankshaft oil seal, check engine running and leaks, clean",Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.15643522143363953,0.1514083296060562,0.13509787619113922,0.12546010315418243,0.12248415499925613
COMPLETE ENGINE CABLING,INTERFERENCE,MOTOR HARNESS,1.0,237.1,REKL  Engine gets hot - Vehicle in emergency mode - Fan doesn't switch on  REASON Engine wiring harness frayed  CORRECTION  Repair the cable harness,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.19681985676288605,0.18483051657676697,0.15164263546466827,0.1451256275177002,0.14216026663780212
CAB LOOM,SHORT CIRCUIT,CAB WIRING,0.0,122.931035,COMPLAINT NON START CAUSE CAB LOOM SHORT CIRCUIT CORRECTION INVESIGATE FAULT. REPAIR WIRING LOOM AND CHECK OPERATION,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.21516844630241394,0.20691484212875366,0.18664449453353882,0.12371548265218735,0.11220265179872513
CLUTCH SYS TANK AND PUMP,BLOCKAGE,KIT-HYDRAULIC CYL,2.0,213.73," INCIDENT  VEHICLE STOPPED, CLUTCH PEDAL FULLY   CAUSE CLUTCH LOCKED   SOLUTION  COMPLETE REPLACEMENT OF HYDRAUL CLUTCH CONTROL",Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.2338210493326187,0.2153596729040146,0.13758935034275055,0.12256539613008499,0.12050525099039078
SUSP.ARM BALL JOINTS,DEFECT,BALL JOINT,6.0,197.517717, COMPLAINT  Squealing in turns CAUSES  Defective upper pivots  CORRECTION Replaced upper pivots,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.2645568251609802,0.20803594589233398,0.20159617066383362,0.09939210116863251,0.07854992896318436
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,89.834451,COMPLAINT  Engine light is on  CPRZ Exhaust gas temperature sensor electrical fault  CORRECTION Replacement of the exhaust gas temperature sensor,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.2741636037826538,0.16156382858753204,0.16027021408081055,0.14201140403747559,0.08890824019908905
PIPES AD-BLUE,BREAK,DELIVERY LINE,1.0,226.89,"DAMAGE TYPE  ENGINE LIGHT ON CAUSE  BROKEN ADBLUE SYSTEM PIPE FROM PUMP TO DOSER  CORRECTION DIAGNOSIS EDC AND DENOZ SYSTEM, PROCEDURE COMPLETED 
GUIDED ON E-TIM 001102-04-SCR, S-R AND REPLACEMENT OF PIPE 
AD-BLUE SYSTEM FROM PUMP TO DOSER, TESTED 
FINAL UDST",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.3302202522754669,0.15481044352054596,0.14801736176013947,0.12095429003238678,0.10065434128046036
ACTUATOR AIR PIPES,BREAK,HOSE,2.0,52.39158,"COMPLAINT  when adding gas, the turbine is louder  CPRZ broken turbine vacuum control cable  CORRECTION  replacing the damaged cable with a new one",Number of Parts Replaced,Type of Failure,Material Failure,Defective Component,Defective Part,0.24995416402816772,0.19213108718395233,0.1380012035369873,0.13034583628177643,0.1279875487089157
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,LV BATTERY CABLE,0.0,222.0," REKL  TOWING FA HOELLDOBLER   REASON ENGINE OFF, STAYING IN THE MIDDLE OF THE CROSSING   CORRECTION  TOWING FA. HOELLDOBLER",Type of Failure,Number of Parts Replaced,Material Failure,Defective Component,Defective Part,0.18247853219509125,0.1690559685230255,0.12571735680103302,0.12011454254388809,0.11465909332036972
AD-BLUE TANK,LOW OUTPUT/EFFICIENCY,TANK/RESERVOIR,51.0,1503.8,DAMAGE TYPE  VEHICLE UNDER PROTECTION CAUSE  DAMAGED FISHING MACHINE  CORRECTION replacement,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.22799620032310486,0.16256797313690186,0.1553688645362854,0.14932894706726074,0.1290675401687622
USB MODULE,SHORT CIRCUIT,INDICATOR,1.0,191.420911,COMPLAIN  no power in USB port CAUSE  USB port shorted  CORRECTION USB port replaced,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.26184287667274475,0.15307490527629852,0.14686520397663116,0.1295640915632248,0.12513916194438934
BACK-UP LAMP SWITCH,DEFECT,REAR LIGHT SWITCH,2.0,84.346757," COMPLAINT  Message - HILLHOLDER function unavailable.  CPRZ  Incorrect signal from the reverse gear switch - causing errors in the system   CORRECTION Fault verification, reverse gear switch replacementA",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.22280429303646088,0.18313004076480865,0.15527699887752533,0.14969949424266815,0.09352211654186249
COURTESY LIGHT SWITCH,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,145.19,"REKL  ZV sliding door without function  REASON Door contact switch defective, damaged contacts  CORRECTION  Contacts and connections checked,
Sliding door panel a-e, 
Contact switch and sliding contact replaced.",Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Material Failure,0.25467973947525024,0.19268380105495453,0.18788112699985504,0.15630029141902924,0.10484989732503891
HEADLAMP ASSY,WATER INFILTRATION,HEADLIGHT,1.0,295.99, DAMAGE TYPE  FRONT LIGHTS DO NOT WORK CORRECTLY   CAUSE front light to be replaced.  CORRECTION  noun,Type of Failure,Defective Part,Defective Component,Number of Parts Replaced,Material Failure,0.24286238849163055,0.16734124720096588,0.15622524917125702,0.13760533928871155,0.10467997193336487
BUZZERS,DEFECTIVE CONTACTS,INDICATOR,1.0,103.53,"REKL  The reversing buzzer has no function. REASON  The reversing buzzer has a defective contact, the circuit board is oxidized. CORRECTION  The power supply and plug connections have been checked. The
Reversing buzzer has been renewed.",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.29630786180496216,0.23112623393535614,0.13235892355442047,0.12999841570854187,0.07623286545276642
NOX DETECTION SENSOR,DEFECT,NOX SENSOR,1.0,222.67," DAMAGE TYPE  Induction light on  CAUSE  Nox sensor wiring (upstream) found stuck and consequently damaged between the frame and catalytic converter bracket.  CORRECTION  UDT station connection for reading errors in the control unit, replacing the sensor and clearing faults.",Type of Failure,Material Failure,Defective Component,Defective Part,Number of Parts Replaced,0.29497087001800537,0.17085851728916168,0.12878353893756866,0.12760186195373535,0.12133681774139404
BATTERY,DEFECT,BATTERY,1.0,261.13," DAMAGE TYPE  STARTING CHECK  CAUSE  starter battery defective   CORRECTION DIAGNOSIS WITH UDT, S/R PLATFORM FOR REPLACEMENT STARTING BATTERY",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.26691046357154846,0.2597191035747528,0.20456446707248688,0.09025856107473373,0.0865110233426094
HOSES,DEFORMED,O-RING,1.0,96.789474,"COMPLAINT  SOMETIMES THE AIR CONDITIONING DOESN'T WORK  CPRZ LACK OF FACTOR IN THE SYSTEM DEFORMED O-RING 
AIR CONDITIONING HOSE CORRECTION  D/M FRONT BELT, PIPE, O-RING REPLACEMENT 
,FILLING THE AIR CONDITIONING",Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.21217763423919678,0.16865597665309906,0.16803503036499023,0.15390126407146454,0.13887538015842438
CLUTCH SYS TANK AND PUMP,DEFECT,KIT-HYDRAULIC CYL,1.0,84.429736," COMPLAINT  CLUTCH PEDAL OPERATION VERIFIED  CAUSES  DEFECTIVE CLUTCH HYDRAULIC KIT, FLUID LOSS  CORRECTION HYDRAULIC CLUTCH KIT REPLACED",Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Material Failure,0.3449862599372864,0.24917924404144287,0.1277485191822052,0.11745467782020569,0.061327073723077774
PUMP TO FILTER PIPE,BREAK,FUEL LINE,1.0,32.637895,COMPLAINT  FUEL LEAK CPPR  BROKEN FUEL PIPE  CORRECTION  FUEL PIPE REPLACEMENT,Type of Failure,Number of Parts Replaced,Defective Part,Material Failure,Defective Component,0.2400149255990982,0.15948860347270966,0.15760600566864014,0.1483762413263321,0.13975456357002258
ACC SENSOR,DEFECT,SENSOR,0.0,18.494737,"COMPLAINT  RADAR ERRORS  CPRZ SOFTWARE ERRORS  CORRECTION  RAS REMOTE DIAGNOSTICS, ERASING ERRORS",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.3086361587047577,0.16237977147102356,0.140248641371727,0.13479813933372498,0.09428302198648453
ENGINE DRIVE CONTR.UNIT,DEFECT,ECU-ENGINE,0.0,53.28859, COMPLAINT  power loss max 20 km/h check engine   CPRZ EDC cartridge update   CORRECTION  EDC cartridge update,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.2513471245765686,0.18725727498531342,0.14736968278884888,0.13761678338050842,0.10965625941753387
OXYGEN SENSOR,DEFECTIVE CONTACTS,SENSOR,3.0,225.61," REKL  Engine error in the display   REASON Diagnosis: Lambda sensor; Electrical system and connections checked OK, sensor defective / short circuit  CORRECTION  Lambda sensor renewed and programmed",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.3170778155326843,0.2020636349916458,0.20148785412311554,0.10325054079294205,0.07744189351797104
TEMPERATURE SENSOR,SHORT CIRCUIT,LAMBDA SENSOR,1.0,118.55," DAMAGE TYPE  ENGINE LIGHT ON AND POWER REDUCTION   CAUSE CAUSE TEMPERATURE SENSOR SHORT   CORRECTION  DIAGNOSIS, EXHAUST GAS INLET TEMPERATURE SENSOR REPLACEMENT",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2912045419216156,0.1838390827178955,0.15396271646022797,0.12971322238445282,0.10717334598302841
VAN SLIDING DOOR,INCORRECT ADJUSTMENT,SLIDING DOOR,1.0,256.56,"REKL  Sliding door on the right leaking water ingress  REASON Door is set incorrectly  CORRECTION  Sliding door a/e, adjust & replace door seal",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.19060876965522766,0.1894342303276062,0.15162743628025055,0.14105212688446045,0.09949802607297897
